blander, blender, blinder, blonder, blunder
bad, bed, bid, bod, bud
bag, beg, big, bog, bug
bagged, begged, bigged, bogged, bugged
bagging, begging, bigging, bogging, bugging
bags, begs, bigs, bogs, bugs
ball, bell, bill, boll, bull
balled, belled, billed, bolled, bulled
balling, belling, billing, bolling, bulling
balls, bells, bills, bolls, bulls
band, bend, bind, bond, bund
bands, bends, binds, bonds, bunds
bat, bet, bit, bot, but
bats, bets, bits, bots, buts
batty, betty, bitty, botty, butty
clack, cleck, click, clock, cluck
clacked, clecked, clicked, clocked, clucked
clacking, clecking, clicking, clocking, clucking
clacks, clecks, clicks, clocks, clucks
call, cell, cill, coll, cull
care, cere, cire, core, cure
cares, ceres, cires, cores, cures
cate, cete, cite, cote, cute
cates, cetes, cites, cotes, cutes
dab, deb, dib, dob, dub
dacker, decker, dicker, docker, ducker
dackers, deckers, dickers, dockers, duckers
dae, dee, die, doe, due
dan, den, din, don, dun
dans, dens, dins, dons, duns
fags, fegs, figs, fogs, fugs
fan, fen, fin, fon, fun
fand, fend, find, fond, fund
gae, gee, gie, goe, gue
gaes, gees, gies, goes, gues
gally, gelly, gilly, golly, gully
gat, get, git, got, gut
hack, heck, hick, hock, huck
hacks, hecks, hicks, hocks, hucks
haed, heed, hied, hoed, hued
hallo, hello, hillo, hollo, hullo
halloed, helloed, hilloed, holloed, hulloed
halloing, helloing, hilloing, holloing, hulloing
hallos, hellos, hillos, hollos, hullos
hap, hep, hip, hop, hup
haps, heps, hips, hops, hups
hat, het, hit, hot, hut
hats, hets, hits, hots, huts
lag, leg, lig, log, lug
lagged, legged, ligged, logged, lugged
lagger, legger, ligger, logger, lugger
laggers, leggers, liggers, loggers, luggers
lagging, legging, ligging, logging, lugging
lags, legs, ligs, logs, lugs
lang, leng, ling, long, lung
lare, lere, lire, lore, lure
last, lest, list, lost, lust
minas, mines, minis, minos, minus
moa, moe, moi, moo, mou
ma, me, mi, mo, mu
mall, mell, mill, moll, mull
malls, mells, mills, molls, mulls
mang, meng, ming, mong, mung
mare, mere, mire, more, mure
mares, meres, mires, mores, mures
mase, mese, mise, mose, muse
mases, meses, mises, moses, muses
mass, mess, miss, moss, muss
massed, messed, missed, mossed, mussed
masses, messes, misses, mosses, musses
massing, messing, missing, mossing, mussing
massy, messy, missy, mossy, mussy
mate, mete, mite, mote, mute
mates, metes, mites, motes, mutes
nab, neb, nib, nob, nub
nabs, nebs, nibs, nobs, nubs
nat, net, nit, not, nut
pack, peck, pick, pock, puck
packs, pecks, picks, pocks, pucks
pall, pell, pill, poll, pull
pans, pens, pins, pons, puns
pant, pent, pint, pont, punt
pants, pents, pints, ponts, punts
pap, pep, pip, pop, pup
papped, pepped, pipped, popped, pupped
papping, pepping, pipping, popping, pupping
pappy, peppy, pippy, poppy, puppy
paps, peps, pips, pops, pups
pat, pet, pit, pot, put
pats, pets, pits, pots, puts
patted, petted, pitted, potted, putted
patter, petter, pitter, potter, putter
patters, petters, pitters, potters, putters
patting, petting, pitting, potting, putting
rack, reck, rick, rock, ruck
racked, recked, ricked, rocked, rucked
racking, recking, ricking, rocking, rucking
racks, recks, ricks, rocks, rucks
rad, red, rid, rod, rud
rads, reds, rids, rods, ruds
ram, rem, rim, rom, rum
rams, rems, rims, roms, rums
rat, ret, rit, rot, rut
rats, rets, rits, rots, ruts
ratted, retted, ritted, rotted, rutted
ratting, retting, ritting, rotting, rutting
shat, shet, shit, shot, shut
snab, sneb, snib, snob, snub
snabs, snebs, snibs, snobs, snubs
san, sen, sin, son, sun
sans, sens, sins, sons, suns
saps, seps, sips, sops, sups
sass, sess, siss, soss, suss
track, treck, trick, trock, truck
tracked, trecked, tricked, trocked, trucked
tracking, trecking, tricking, trocking, trucking
tracks, trecks, tricks, trocks, trucks
tag, teg, tig, tog, tug
tags, tegs, tigs, togs, tugs
tan, ten, tin, ton, tun
tane, tene, tine, tone, tune
tans, tens, tins, tons, tuns
an, en, in, on, un
are, ere, ire, ore, ure
as, es, is, os, us
